customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
CUST_000186,39,5,68000.3,4,3,2,Potential Loyalists
CUST_000187,18,6,80803.08,5,4,2,Potential Loyalists
CUST_000188,139,5,33820.45,2,3,1,At Risk
CUST_000189,212,4,74260.42,2,2,2,Lost Customers
CUST_000190,13,6,147318.9,5,4,4,Champions
CUST_000191,17,5,173102.92,5,3,4,Loyal Customers
CUST_000192,19,5,97703.66,5,3,3,Loyal Customers
CUST_000193,181,4,33778.73,2,2,1,Lost Customers
CUST_000194,174,3,68350.63,2,1,2,Lost Customers
CUST_000195,437,3,182065.84999999998,1,1,4,Lost Customers
CUST_000196,169,8,511222.99,2,5,5,Champions
CUST_000197,14,12,185407.41999999998,5,5,4,Champions
CUST_000198,124,9,467689.89999999997,3,5,5,Champions
CUST_000199,83,10,221652.38,3,5,4,Champions
CUST_000200,58,7,406816.55,4,4,5,Champions
CUST_000201,16,8,480123.92000000004,5,5,5,Champions
CUST_000202,153,5,220088.06,2,3,4,At Risk
CUST_000203,36,11,626893.67,4,5,5,Champions
CUST_000204,88,5,131713.27000000002,3,3,3,Loyal Customers
CUST_000205,41,4,178389.0,4,2,4,Potential Loyalists
CUST_000206,104,4,69457.69,3,2,2,New Customers
CUST_000207,55,6,72170.22,4,4,2,Potential Loyalists
CUST_000208,72,2,40716.22,4,1,1,Potential Loyalists
CUST_000209,406,5,160763.08000000002,1,3,4,At Risk
CUST_000210,98,8,137748.91,3,5,3,Loyal Customers
CUST_000211,89,8,125926.58,3,5,3,Loyal Customers
CUST_000212,25,8,221618.23,5,5,4,Champions
CUST_000213,43,8,67401.44,4,5,2,Potential Loyalists
CUST_000214,29,4,67579.81,5,2,2,Potential Loyalists
CUST_000215,3,5,13968.12,5,3,1,Potential Loyalists
CUST_000216,89,4,25344.85,3,2,1,New Customers
CUST_000217,66,2,54925.21,4,1,2,Potential Loyalists
CUST_000218,11,8,136929.43,5,5,3,Loyal Customers
CUST_000219,29,7,102758.38,5,4,3,Loyal Customers
CUST_000220,70,4,73513.77,4,2,2,Potential Loyalists
CUST_000221,132,7,306396.45,3,4,5,Champions
CUST_000222,214,3,297222.16000000003,2,1,5,Lost Customers
CUST_000223,109,6,124056.73999999999,3,4,3,Loyal Customers
CUST_000224,33,5,123673.09,4,3,3,Loyal Customers
CUST_000225,70,7,195938.23,4,4,4,Champions
CUST_000226,154,4,143945.25,2,2,3,Lost Customers
CUST_000227,193,7,210898.6,2,4,4,Champions
CUST_000228,112,5,91179.06,3,3,2,Others
CUST_000229,35,6,238532.71000000002,4,4,5,Champions
CUST_000230,58,5,123053.29000000001,4,3,3,Loyal Customers
CUST_000231,19,7,150963.41999999998,5,4,4,Champions
CUST_000232,78,8,242196.03999999998,3,5,5,Champions
CUST_000233,70,4,64914.369999999995,4,2,2,Potential Loyalists
CUST_000234,218,4,51833.83,2,2,2,Lost Customers
CUST_000235,81,5,148499.14,3,3,4,Loyal Customers
CUST_000236,320,4,64017.16999999999,1,2,2,Lost Customers
CUST_000237,454,7,210052.66,1,4,4,Champions
CUST_000238,44,3,70571.91,4,1,2,Potential Loyalists
CUST_000239,130,3,86878.93,3,1,2,New Customers
CUST_000240,5,5,71305.3,5,3,2,Potential Loyalists
CUST_000241,158,4,210950.39,2,2,4,Lost Customers
CUST_000242,67,4,43716.33,4,2,1,Potential Loyalists
CUST_000243,255,4,109961.57,1,2,3,Lost Customers
CUST_000244,19,9,274821.47,5,5,5,Champions
CUST_000245,102,3,46291.82,3,1,1,New Customers
CUST_000246,347,3,80675.06,1,1,2,Lost Customers
CUST_000247,74,1,22754.06,4,1,1,Potential Loyalists
CUST_000248,37,3,177943.91,4,1,4,Potential Loyalists
CUST_000249,227,6,159470.52,2,4,4,Champions
CUST_000250,134,2,24058.27,2,1,1,Lost Customers
CUST_000251,0,6,183292.47999999998,5,4,4,Champions
CUST_000252,34,5,142577.14,4,3,3,Loyal Customers
CUST_000253,294,6,31386.789999999997,1,4,1,At Risk
CUST_000254,36,6,128980.09,4,4,3,Loyal Customers
CUST_000255,278,5,108168.59,1,3,3,At Risk
CUST_000256,39,8,135850.37,4,5,3,Loyal Customers
CUST_000257,105,2,36034.1,3,1,1,New Customers
CUST_000258,99,4,78511.82,3,2,2,New Customers
CUST_000259,139,4,56541.06,2,2,2,Lost Customers
CUST_000260,147,4,287816.67,2,2,5,Lost Customers
CUST_000261,161,3,61305.9,2,1,2,Lost Customers
CUST_000262,293,5,143666.12,1,3,3,At Risk
CUST_000263,38,3,20460.879999999997,4,1,1,Potential Loyalists
CUST_000264,62,7,117201.65,4,4,3,Loyal Customers
CUST_000265,91,9,299608.36,3,5,5,Champions
CUST_000266,171,2,1467.93,2,1,1,Lost Customers
CUST_000267,245,4,50419.619999999995,1,2,2,Lost Customers
CUST_000268,73,7,88739.31,4,4,2,Potential Loyalists
CUST_000269,102,3,91885.56,3,1,2,New Customers
CUST_000270,74,4,212498.01,4,2,4,Potential Loyalists
CUST_000271,152,8,278769.19,2,5,5,Champions
CUST_000272,76,9,229812.65000000002,3,5,5,Champions
CUST_000273,241,3,41421.64,1,1,1,Lost Customers
CUST_000274,143,7,239668.13,2,4,5,Champions
CUST_000275,167,5,593746.21,2,3,5,At Risk
CUST_000276,146,9,143089.74,2,5,3,At Risk
CUST_000277,12,8,122132.32,5,5,3,Loyal Customers
CUST_000278,218,4,52592.520000000004,2,2,2,Lost Customers
CUST_000279,224,2,122715.65999999999,2,1,3,Lost Customers
CUST_000280,93,5,146659.99,3,3,4,Loyal Customers
CUST_000281,102,5,46837.78,3,3,1,Others
CUST_000282,278,7,182481.85,1,4,4,Champions
CUST_000283,86,9,164213.51,3,5,4,Champions
CUST_000284,165,6,57858.13,2,4,2,At Risk
CUST_000285,59,5,130926.97,4,3,3,Loyal Customers
CUST_000286,0,6,184462.59,5,4,4,Champions
CUST_000287,58,5,183017.13,4,3,4,Loyal Customers
CUST_000288,1,8,279952.82,5,5,5,Champions
CUST_000289,275,4,41134.15,1,2,1,Lost Customers
CUST_000290,265,1,13714.13,1,1,1,Lost Customers
CUST_000291,17,8,233386.99,5,5,5,Champions
CUST_000292,59,7,452556.85,4,4,5,Champions
CUST_000293,89,6,391611.38,3,4,5,Champions
CUST_000294,200,3,21471.0,2,1,1,Lost Customers
CUST_000295,110,4,108700.22,3,2,3,New Customers
CUST_000296,139,5,103549.15,2,3,3,At Risk
CUST_000297,20,8,312334.82,5,5,5,Champions
CUST_000298,179,2,91958.99,2,1,2,Lost Customers
CUST_000299,53,6,155820.41999999998,4,4,4,Champions
CUST_000300,56,5,164968.51,4,3,4,Loyal Customers
CUST_000301,245,1,6272.81,1,1,1,Lost Customers
CUST_000302,208,5,281496.56,2,3,5,At Risk
CUST_000303,7,3,125216.06,5,1,3,Potential Loyalists
CUST_000304,462,2,30461.81,1,1,1,Lost Customers
CUST_000305,200,7,397367.19,2,4,5,Champions
CUST_000306,279,5,38355.09,1,3,1,At Risk
CUST_000307,604,1,12951.64,1,1,1,Lost Customers
CUST_000308,634,1,38610.58,1,1,1,Lost Customers
CUST_000309,448,2,13647.54,1,1,1,Lost Customers
CUST_000310,288,3,33978.350000000006,1,1,1,Lost Customers
CUST_000311,256,2,16433.94,1,1,1,Lost Customers
CUST_000312,120,8,202535.38999999998,3,5,4,Champions
CUST_000313,16,11,277452.83999999997,5,5,5,Champions
CUST_000314,88,7,117694.74,3,4,3,Loyal Customers
CUST_000315,2,8,371323.09,5,5,5,Champions
CUST_000316,705,1,12881.04,1,1,1,Lost Customers
CUST_000317,43,4,223173.82,4,2,4,Potential Loyalists
CUST_000318,361,4,138653.78999999998,1,2,3,Lost Customers
CUST_000319,18,9,282875.91,5,5,5,Champions
CUST_000320,386,3,84657.94,1,1,2,Lost Customers
CUST_000321,287,3,37020.72,1,1,1,Lost Customers
CUST_000322,98,6,261326.59,3,4,5,Champions
CUST_000323,60,5,36557.69,4,3,1,Potential Loyalists
CUST_000324,177,6,120337.95000000001,2,4,3,At Risk
CUST_000325,33,5,120774.22,4,3,3,Loyal Customers
CUST_000326,98,2,23001.1,3,1,1,New Customers
CUST_000327,82,3,58131.11,3,1,2,New Customers
CUST_000328,118,6,252532.11000000002,3,4,5,Champions
CUST_000329,82,7,178635.34999999998,3,4,4,Champions
CUST_000330,151,6,144894.16,2,4,3,At Risk
CUST_000331,54,7,239712.09999999998,4,4,5,Champions
CUST_000332,48,6,138492.03,4,4,3,Loyal Customers
CUST_000333,43,8,274093.96,4,5,5,Champions
CUST_000334,150,3,110544.12999999999,2,1,3,Lost Customers
CUST_000335,106,5,245116.81,3,3,5,Loyal Customers
CUST_000336,35,3,40093.119999999995,4,1,1,Potential Loyalists
CUST_000337,52,6,202440.59,4,4,4,Champions
CUST_000338,475,2,17279.96,1,1,1,Lost Customers
CUST_000339,177,3,77902.93,2,1,2,Lost Customers
CUST_000340,62,7,170230.0,4,4,4,Champions
CUST_000341,287,8,197325.91999999998,1,5,4,Champions
CUST_000342,170,5,340096.02999999997,2,3,5,At Risk
CUST_000343,168,4,19289.9,2,2,1,Lost Customers
CUST_000344,162,4,285988.38,2,2,5,Lost Customers
CUST_000345,159,2,21206.71,2,1,1,Lost Customers
CUST_000346,234,6,162744.93,1,4,4,Champions
CUST_000347,6,8,344866.36,5,5,5,Champions
CUST_000348,81,3,223306.30999999997,3,1,4,New Customers
CUST_000349,184,8,148343.99,2,5,4,Champions
CUST_000350,25,4,94463.38,5,2,3,Potential Loyalists
CUST_000351,94,9,259738.26,3,5,5,Champions
CUST_000352,67,3,93554.71,4,1,3,Potential Loyalists
CUST_000353,39,8,101707.5,4,5,3,Loyal Customers
CUST_000354,130,3,37126.159999999996,3,1,1,New Customers
CUST_000355,560,1,266700.18,1,1,5,Lost Customers
CUST_000356,51,2,34432.87,4,1,1,Potential Loyalists
CUST_000357,83,10,250240.78,3,5,5,Champions
CUST_000358,16,6,316550.1,5,4,5,Champions
CUST_000359,0,3,224967.96999999997,5,1,4,Potential Loyalists
CUST_000360,211,5,51898.729999999996,2,3,2,At Risk
CUST_000361,312,4,198788.16,1,2,4,Lost Customers
CUST_000362,132,11,263533.20999999996,3,5,5,Champions
CUST_000363,246,4,66967.84,1,2,2,Lost Customers
CUST_000364,4,6,139413.94,5,4,3,Loyal Customers
CUST_000365,133,4,154754.57,3,2,4,New Customers
CUST_000366,9,7,136021.34,5,4,3,Loyal Customers
CUST_000367,12,11,659953.83,5,5,5,Champions
CUST_000368,271,4,14499.36,1,2,1,Lost Customers
CUST_000369,186,6,84295.26,2,4,2,At Risk
CUST_000370,67,5,244227.0,4,3,5,Loyal Customers
CUST_000371,88,4,108495.34,3,2,3,New Customers
CUST_000372,2,7,351558.02,5,4,5,Champions
CUST_000373,285,3,45410.3,1,1,1,Lost Customers
CUST_000374,24,13,511682.36,5,5,5,Champions
CUST_000375,238,3,4641.21,1,1,1,Lost Customers
CUST_000376,76,5,109644.91,3,3,3,Loyal Customers
CUST_000377,14,6,114022.57,5,4,3,Loyal Customers
CUST_000378,89,6,65621.98999999999,3,4,2,Others
CUST_000379,32,6,219741.48000000004,5,4,4,Champions
CUST_000380,36,5,153325.72,4,3,4,Loyal Customers
CUST_000381,53,4,94056.2,4,2,3,Potential Loyalists
CUST_000382,184,5,267931.38,2,3,5,At Risk
CUST_000383,139,5,163434.64,2,3,4,At Risk
CUST_000384,363,4,154759.5,1,2,4,Lost Customers
CUST_000385,17,6,215490.96,5,4,4,Champions
CUST_000386,16,4,36647.740000000005,5,2,1,Potential Loyalists
CUST_000387,19,4,314632.08,5,2,5,Potential Loyalists
CUST_000388,234,3,96206.48000000001,1,1,3,Lost Customers
CUST_000389,41,8,191596.72,4,5,4,Champions
CUST_000390,20,3,43571.54,5,1,1,Potential Loyalists
CUST_000391,65,2,11875.259999999998,4,1,1,Potential Loyalists
CUST_000392,14,8,214578.82,5,5,4,Champions
CUST_000393,160,7,172641.00999999998,2,4,4,Champions
CUST_000394,282,4,27759.41,1,2,1,Lost Customers
CUST_000395,65,4,101325.92,4,2,3,Potential Loyalists
CUST_000396,207,3,45490.3,2,1,1,Lost Customers
CUST_000397,6,4,117122.01,5,2,3,Potential Loyalists
CUST_000398,135,7,498253.98,2,4,5,Champions
CUST_000399,189,5,74501.26,2,3,2,At Risk
CUST_000400,56,10,286718.01,4,5,5,Champions
CUST_000401,180,4,54015.619999999995,2,2,2,Lost Customers
CUST_000402,42,4,63787.9,4,2,2,Potential Loyalists
CUST_000403,116,6,108443.93,3,4,3,Loyal Customers
CUST_000404,10,5,164676.91,5,3,4,Loyal Customers
CUST_000405,182,2,13075.11,2,1,1,Lost Customers
CUST_000406,88,6,203773.52000000002,3,4,4,Champions
CUST_000407,5,4,149838.50999999998,5,2,4,Potential Loyalists
CUST_000408,107,3,85662.44,3,1,2,New Customers
CUST_000409,104,4,125533.83,3,2,3,New Customers
CUST_000410,598,2,63384.41,1,1,2,Lost Customers
CUST_000411,44,7,89595.88,4,4,2,Potential Loyalists
CUST_000412,157,3,15355.93,2,1,1,Lost Customers
CUST_000413,123,6,81350.93000000001,3,4,2,Others
CUST_000414,46,4,66423.36,4,2,2,Potential Loyalists
CUST_000415,244,5,101529.59,1,3,3,At Risk
CUST_000416,54,6,168552.94,4,4,4,Champions
CUST_000417,35,7,153935.47,4,4,4,Champions
CUST_000418,205,6,130237.63,2,4,3,At Risk
CUST_000419,23,4,57314.520000000004,5,2,2,Potential Loyalists
CUST_000420,152,5,125963.51999999999,2,3,3,At Risk
CUST_000421,267,7,64607.479999999996,1,4,2,At Risk
CUST_000422,31,6,110907.85,5,4,3,Loyal Customers
CUST_000423,28,6,109541.70999999999,5,4,3,Loyal Customers
CUST_000424,35,7,62479.92,4,4,2,Potential Loyalists
CUST_000425,19,6,108902.45000000001,5,4,3,Loyal Customers
CUST_000426,50,6,240230.94000000003,4,4,5,Champions
CUST_000427,352,3,111858.19,1,1,3,Lost Customers
CUST_000428,107,8,184534.46,3,5,4,Champions
CUST_000429,51,5,205713.02,4,3,4,Loyal Customers
CUST_000430,2,2,125946.57,5,1,3,Potential Loyalists
CUST_000431,19,5,153319.97,5,3,4,Loyal Customers
CUST_000432,29,6,178706.94,5,4,4,Champions
CUST_000433,245,2,83574.25,1,1,2,Lost Customers
CUST_000434,24,9,229752.81,5,5,5,Champions
CUST_000435,140,4,21725.21,2,2,1,Lost Customers
CUST_000436,67,5,57863.75,4,3,2,Potential Loyalists
CUST_000437,114,4,107597.06999999999,3,2,3,New Customers
CUST_000438,24,4,78232.5,5,2,2,Potential Loyalists
CUST_000439,238,5,73302.09,1,3,2,At Risk
CUST_000440,106,4,77106.8,3,2,2,New Customers
CUST_000441,44,4,45503.24,4,2,1,Potential Loyalists
CUST_000442,105,4,67531.18,3,2,2,New Customers
CUST_000443,53,3,18197.440000000002,4,1,1,Potential Loyalists
CUST_000444,154,6,141494.22,2,4,3,At Risk
CUST_000445,213,3,48955.130000000005,2,1,2,Lost Customers
CUST_000446,128,4,28023.09,3,2,1,New Customers
CUST_000447,35,10,287392.17,4,5,5,Champions
CUST_000448,15,7,417642.58999999997,5,4,5,Champions
CUST_000449,470,5,79221.88,1,3,2,At Risk
CUST_000450,138,2,8462.11,2,1,1,Lost Customers
CUST_000451,14,5,145485.03999999998,5,3,4,Loyal Customers
CUST_000452,64,5,41091.02,4,3,1,Potential Loyalists
CUST_000453,34,5,51620.32,4,3,2,Potential Loyalists
CUST_000454,411,1,605.93,1,1,1,Lost Customers
CUST_000455,5,4,32965.32,5,2,1,Potential Loyalists
CUST_000456,40,8,502792.2,4,5,5,Champions
CUST_000457,46,5,163301.33,4,3,4,Loyal Customers
CUST_000458,166,3,5709.71,2,1,1,Lost Customers
CUST_000459,161,4,629686.8099999999,2,2,5,Lost Customers
CUST_000460,78,3,45665.46,3,1,1,New Customers
CUST_000461,90,4,47984.65,3,2,1,New Customers
CUST_000462,111,4,178101.45,3,2,4,New Customers
CUST_000463,98,4,211731.65,3,2,4,New Customers
CUST_000464,101,7,62358.04,3,4,2,Others
CUST_000465,19,8,264557.6,5,5,5,Champions
CUST_000466,597,2,4718.71,1,1,1,Lost Customers
CUST_000467,14,7,230360.14,5,4,5,Champions
CUST_000468,98,6,39805.08,3,4,1,Others
CUST_000469,108,8,206009.84,3,5,4,Champions
CUST_000470,257,3,26147.43,1,1,1,Lost Customers
CUST_000471,336,3,18909.75,1,1,1,Lost Customers
CUST_000472,109,5,115255.09,3,3,3,Loyal Customers
CUST_000473,21,11,253773.35,5,5,5,Champions
CUST_000474,60,9,85520.5,4,5,2,Potential Loyalists
CUST_000475,261,2,142654.46,1,1,3,Lost Customers
CUST_000476,17,7,191729.07,5,4,4,Champions
CUST_000477,50,4,21632.49,4,2,1,Potential Loyalists
CUST_000478,180,7,96463.26000000001,2,4,3,At Risk
CUST_000479,202,8,182539.05,2,5,4,Champions
CUST_000480,7,7,274262.02,5,4,5,Champions
CUST_000481,105,8,495872.32999999996,3,5,5,Champions
CUST_000482,53,5,30750.92,4,3,1,Potential Loyalists
CUST_000483,37,6,89160.20999999999,4,4,2,Potential Loyalists
